cod_ibge,ano_referencia,populacao_estimada,pib_per_capita
1718501,2017,4230,9729.79
1718550,2017,4601,9822.21
1718659,2017,2061,9235.32
1718709,2017,2810,15789.68
1718758,2017,6512,9465.45
1718808,2017,4579,8152.00
1718840,2017,3410,20475.37
1718865,2017,7402,15517.16
1718881,2017,3356,11983.31
1718899,2017,2343,36475.03
1718907,2017,4833,30388.79
1719004,2017,2825,11426.55
1720002,2017,2550,12052.16
1720101,2017,5231,9498.57
1720150,2017,1571,11764.48
1720200,2017,11906,8606.16
1720259,2017,3084,11000.65
1720309,2017,4749,9320.70
1720499,2017,4111,33346.39
1720655,2017,5399,27468.98
1720804,2017,9192,9747.17
1720853,2017,1941,30325.61
1720903,2017,16530,13940.35
1720937,2017,2130,10327.23
1720978,2017,2777,30030.97
1721000,2017,286787,29650.90
1721109,2017,7460,9092.63
1721208,2017,23119,12982.01
1721257,2017,1843,25036.35
1721307,2017,2574,11104.12
1722081,2017,11677,13864.61
1722107,2017,11683,29229.91
2100055,2017,111339,19784.06
2100105,2017,6486,6915.05
2100154,2017,12457,5874.13
2100204,2017,21673,5366.72
2100303,2017,26387,6598.32
2100402,2017,8070,6981.16
2100436,2017,26872,8184.91
2100477,2017,31312,5806.59
2100501,2017,11001,26144.53
2100550,2017,6895,7111.68
2100600,2017,41106,6656.47
2100709,2017,27352,6469.36
2100808,2017,15696,8657.87
2100832,2017,18374,5663.66
2100873,2017,15332,5074.03
2100907,2017,46074,5841.43
2100956,2017,32145,6594.15
2101004,2017,29388,7812.13
2101103,2017,11975,5742.88
2101202,2017,103359,10966.95
2101251,2017,17053,19901.19
2101301,2017,17435,5537.60
2101350,2017,5574,6297.27
2101400,2017,94779,32137.37
2101509,2017,18619,11281.27
2101608,2017,87135,7451.07
2101707,2017,62458,7330.30
2101731,2017,7422,6411.75
2101772,2017,11103,7174.01
2101806,2017,5528,7186.69
2101905,2017,20881,5700.21
2101939,2017,5973,8231.21
2101970,2017,9320,6594.10
2102002,2017,41120,7359.63
2102036,2017,34278,7642.19
2102077,2017,16214,5297.09
2102101,2017,36102,7590.27
2102150,2017,8696,5984.25
2102200,2017,28306,6625.56
2102309,2017,23495,6545.69
2102325,2017,71979,6893.14
2102358,2017,15180,5890.51
2102374,2017,8930,6381.86
2102408,2017,11019,4834.29
2102507,2017,19110,5177.92
2102556,2017,14219,12212.32
2102606,2017,19943,6113.87
2102705,2017,21759,5518.04
2102754,2017,10713,12235.23
2102804,2017,23803,12945.05
2102903,2017,23576,6587.46
2103000,2017,162657,10506.45
2103109,2017,10490,6072.83
2103125,2017,8615,5074.17
2103158,2017,13555,5243.75
2103174,2017,21565,6532.34
2103208,2017,78965,8303.02
2103257,2017,14539,8817.04
2103307,2017,120810,7897.22
2103406,2017,48756,6928.81
2103505,2017,40575,7925.62
2103554,2017,16192,6003.09
2103604,2017,64403,6175.77
2103703,2017,30706,7029.80
2103752,2017,12659,49281.93
2103802,2017,22912,9757.38
2103901,2017,11208,6124.38
2104008,2017,16653,7452.59
2104057,2017,42110,18854.43
2104073,2017,8372,7777.71
2104081,2017,10326,5311.45
2104099,2017,18997,6939.67
2104107,2017,12403,11435.78
2104206,2017,15262,6729.07
2104305,2017,11830,6404.56
2104404,2017,17586,6513.25
2104503,2017,10700,6284.21
2104552,2017,18316,14326.05
2104602,2017,16582,5732.84
2104628,2017,7708,6604.83
2104651,2017,9921,6139.70
2104677,2017,24991,7265.06
2104701,2017,6134,6872.19
2104800,2017,69232,9674.27
2104909,2017,11728,6979.88
2105005,2017,28509,5077.31
2105104,2017,26835,4984.72
2105153,2017,14147,11268.96
2105203,2017,11206,7302.78
2105302,2017,254569,25963.18
2105351,2017,16009,4907.80
2105401,2017,67726,8771.83
2105427,2017,25589,11078.71
2105450,2017,10221,5862.93
